date,district,rainfall_mm,rain_3day_mm,threshold_1day_mm,threshold_3day_mm,flood_intensity
2019-05-04,ballia,0.0,2.8148210559572493,32.75715392257831,80.0730429218581,0.0
2019-05-05,ballia,0.0,2.7948210580008372,32.75715392257831,80.0730429218581,0.0
2019-04-26,balod,0.007692307233810425,0.0,44.5863725278558,108.98891062364751,0.0
2019-04-27,balod,0.0,0.0,44.5863725278558,108.98891062364751,0.0
2019-04-28,balod,0.0,0.007692307233810425,44.5863725278558,108.98891062364751,0.0
2019-04-29,balod,0.032884616118211016,0.032884616118211016,44.5863725278558,108.98891062364751,0.0
2019-04-30,balod,0.1932692160973182,0.2261538322155292,44.5863725278558,108.98891062364751,0.0
2019-05-01,balod,0.1971153846153846,0.42326921683091384,44.5863725278558,108.98891062364751,0.0
2019-05-02,balod,0.00019230768800928042,0.3905769084007121,44.5863725278558,108.98891062364751,0.0
2019-05-03,balod,0.2790384659400353,0.4763461582434292,44.5863725278558,108.98891062364751,0.0
2019-05-04,balod,0.46192304904644305,0.7411538226744876,44.5863725278558,108.98891062364751,0.0
2019-05-05,balod,0.05903846025466919,0.7999999752411475,44.5863725278558,108.98891062364751,0.0
2019-04-26,balodabazar,0.0,0.0,42.600957504156135,104.13567389904834,0.0
2019-04-27,balodabazar,0.0,0.0,42.600957504156135,104.13567389904834,0.0
2019-04-28,balodabazar,0.0,0.0,42.600957504156135,104.13567389904834,0.0
2019-04-29,balodabazar,0.0,0.0,42.600957504156135,104.13567389904834,0.0
2019-04-30,balodabazar,0.025952378908793133,0.025952378908793133,42.600957504156135,104.13567389904834,0.0
2019-05-01,balodabazar,0.0013095238024280185,0.027261902711221152,42.600957504156135,104.13567389904834,0.0
2019-05-02,balodabazar,0.03833333083561489,0.06559523354683604,42.600957504156135,104.13567389904834,0.0
2019-05-03,balodabazar,0.15226190430777414,0.19190475894581704,42.600957504156135,104.13567389904834,0.0
2019-05-04,balodabazar,0.06190475963410877,0.2524999947774978,42.600957504156135,104.13567389904834,0.0
2019-05-05,balodabazar,0.059999999545869376,0.2741666634877523,42.600957504156135,104.13567389904834,0.0
2019-04-26,balrampur,0.0,0.0,40.799498070934185,99.73210639561692,0.0
2019-04-26,balrampur,0.0,0.0,40.799498070934185,99.73210639561692,0.0
2019-04-26,balrampur,0.0,0.0,38.310995080576056,93.64909908585258,0.0
2019-04-26,balrampur,0.0,0.0,38.310995080576056,93.64909908585258,0.0
2019-04-27,balrampur,0.0,0.0,40.799498070934185,99.73210639561692,0.0
2019-04-27,balrampur,0.0,0.0,40.799498070934185,99.73210639561692,0.0
2019-04-27,balrampur,0.0,0.0,38.310995080576056,93.64909908585258,0.0
2019-04-27,balrampur,0.0,0.0,38.310995080576056,93.64909908585258,0.0
2019-04-28,balrampur,0.0,0.0,40.799498070934185,99.73210639561692,0.0
2019-04-28,balrampur,0.0,0.0,40.799498070934185,99.73210639561692,0.0
2019-04-28,balrampur,0.0,0.0,38.310995080576056,93.64909908585258,0.0
2019-04-28,balrampur,0.0,0.0,38.310995080576056,93.64909908585258,0.0
2019-04-29,balrampur,0.0,0.0,40.799498070934185,99.73210639561692,0.0
2019-04-29,balrampur,0.0,0.0,40.799498070934185,99.73210639561692,0.0
2019-04-29,balrampur,0.0,0.0,38.310995080576056,93.64909908585258,0.0
2019-04-29,balrampur,0.0,0.0,38.310995080576056,93.64909908585258,0.0
2019-04-30,balrampur,0.0,0.0,40.799498070934185,99.73210639561692,0.0
2019-04-30,balrampur,0.0,0.0,40.799498070934185,99.73210639561692,0.0
2019-04-30,balrampur,0.0,0.0,38.310995080576056,93.64909908585258,0.0
2019-04-30,balrampur,0.0,0.0,38.310995080576056,93.64909908585258,0.0
2019-05-01,balrampur,3.191999816894531,3.191999816894531,40.799498070934185,99.73210639561692,0.0
2019-05-01,balrampur,3.191999816894531,3.191999816894531,40.799498070934185,99.73210639561692,0.0
2019-05-01,balrampur,3.191999816894531,3.191999816894531,38.310995080576056,93.64909908585258,0.0
2019-05-01,balrampur,3.191999816894531,3.191999816894531,38.310995080576056,93.64909908585258,0.0
2019-05-02,balrampur,8.395333353678385,11.587333170572917,40.799498070934185,99.73210639561692,0.0
2019-05-02,balrampur,8.395333353678385,11.587333170572917,40.799498070934185,99.73210639561692,0.0
2019-05-02,balrampur,8.395333353678385,11.587333170572917,38.310995080576056,93.64909908585258,0.0
2019-05-02,balrampur,8.395333353678385,11.587333170572917,38.310995080576056,93.64909908585258,0.0
2019-05-03,balrampur,0.9098332722981771,12.497166442871094,40.799498070934185,99.73210639561692,0.0
2019-05-03,balrampur,0.9098332722981771,12.497166442871094,40.799498070934185,99.73210639561692,0.0
2019-05-03,balrampur,0.9098332722981771,12.497166442871094,38.310995080576056,93.64909908585258,0.0
2019-05-03,balrampur,0.9098332722981771,12.497166442871094,38.310995080576056,93.64909908585258,0.0
2019-05-04,balrampur,0.0,9.305166625976563,40.799498070934185,99.73210639561692,0.0
2019-05-04,balrampur,0.0,9.305166625976563,40.799498070934185,99.73210639561692,0.0
2019-05-04,balrampur,0.0,9.305166625976563,38.310995080576056,93.64909908585258,0.0
2019-05-04,balrampur,0.0,9.305166625976563,38.310995080576056,93.64909908585258,0.0
2019-05-05,balrampur,0.0,0.9098332722981771,40.799498070934185,99.73210639561692,0.0
2019-05-05,balrampur,0.0,0.9098332722981771,40.799498070934185,99.73210639561692,0.0
2019-05-05,balrampur,0.0,0.9098332722981771,38.310995080576056,93.64909908585258,0.0
2019-05-05,balrampur,0.0,0.9098332722981771,38.310995080576056,93.64909908585258,0.0
